time,src,srole,dst,drole,proto,op,tier,resp,mode,action
08-01T13:44:35,192.168.2.55,ews,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T13:44:34,192.168.2.30,historian,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T13:44:34,192.168.3.66,historian,192.168.3.10,plc,TCP,,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:HIGH]
08-01T13:44:34,192.168.3.66,historian,192.168.3.10,plc,S7,READ,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:HIGH]
08-01T13:44:32,192.168.2.55,ews,192.168.2.10,plc,S7,CONTROL,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T13:44:32,192.168.2.55,ews,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T13:44:29,192.168.2.55,ews,192.168.2.10,plc,S7,CONTROL,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T13:44:28,192.168.2.55,ews,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T13:44:28,192.168.3.66,historian,192.168.3.10,plc,TCP,,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:HIGH]
08-01T13:44:26,192.168.2.55,ews,192.168.2.10,plc,S7,CONTROL,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T13:44:25,192.168.2.55,ews,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T13:44:25,192.168.3.66,historian,192.168.3.10,plc,TCP,,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:HIGH]
08-01T13:44:23,192.168.2.55,ews,192.168.2.10,plc,S7,CONTROL,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T13:44:22,192.168.2.55,ews,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T13:44:21,192.168.2.30,historian,192.168.2.10,plc,TCP,,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T13:44:21,192.168.3.66,historian,192.168.3.10,plc,TCP,,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:HIGH]
08-01T13:44:20,192.168.2.55,ews,192.168.2.10,plc,S7,CONTROL,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T13:44:19,192.168.2.55,ews,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T13:44:17,192.168.2.55,ews,192.168.2.10,plc,S7,CONTROL,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T13:44:16,192.168.2.55,ews,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T13:44:14,192.168.3.66,historian,192.168.3.10,plc,TCP,,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:HIGH]
08-01T13:44:14,192.168.2.55,ews,192.168.2.10,plc,S7,CONTROL,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T13:44:13,192.168.2.55,ews,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T13:44:11,192.168.2.30,historian,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T13:44:11,192.168.3.66,historian,192.168.3.10,plc,TCP,,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:HIGH]
08-01T13:44:11,192.168.3.66,historian,192.168.3.10,plc,S7,READ,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:HIGH]
08-01T13:44:11,192.168.2.55,ews,192.168.2.10,plc,S7,CONTROL,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T13:44:10,192.168.2.55,ews,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T13:44:08,192.168.2.55,ews,192.168.2.10,plc,S7,CONTROL,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T13:44:07,192.168.2.55,ews,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T13:44:05,192.168.2.55,ews,192.168.2.10,plc,S7,CONTROL,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T13:44:04,192.168.3.66,historian,192.168.3.10,plc,TCP,,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:HIGH]
08-01T13:44:04,192.168.2.55,ews,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T13:44:02,192.168.2.55,ews,192.168.2.10,plc,S7,CONTROL,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T13:44:01,192.168.2.55,ews,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T13:44:01,192.168.3.66,historian,192.168.3.10,plc,TCP,,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:HIGH]
08-01T13:43:59,192.168.2.55,ews,192.168.2.10,plc,S7,CONTROL,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T13:43:58,192.168.2.55,ews,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T13:43:57,192.168.2.30,historian,192.168.2.10,plc,TCP,,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T13:43:57,192.168.3.66,historian,192.168.3.10,plc,TCP,,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:HIGH]
08-01T13:43:56,192.168.2.55,ews,192.168.2.10,plc,S7,CONTROL,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T13:43:55,192.168.2.55,ews,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T13:43:53,192.168.2.55,ews,192.168.2.10,plc,S7,CONTROL,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T13:43:52,192.168.2.55,ews,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T13:43:51,192.168.3.66,historian,192.168.3.10,plc,TCP,,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:HIGH]
08-01T13:43:49,192.168.2.55,ews,192.168.2.10,plc,S7,CONTROL,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T13:43:49,192.168.2.55,ews,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T13:43:47,192.168.2.30,historian,192.168.2.10,plc,S7,READ,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:CRITICAL]
08-01T13:43:47,192.168.3.66,historian,192.168.3.10,plc,TCP,,OPERATIONAL,ALLOW,ENFORCED,ALLOW (operational) - monitor only [CRIT:HIGH]
