ts,label,atk,t0,t_enforce,mttm_ms,response,hard_timeout,leaked_frames
2026-08-16T02:44:58,modbus_scan,192.168.2.31,1786844696.473357,1786844696.521831,48.47,ISOLATE_or_BLOCK,30,0
2026-08-16T02:45:13,fdi_high,192.168.2.31,1786844711.204134,1786844711.338258,134.12,ISOLATE_or_BLOCK,75,10
2026-08-16T02:46:35,modbus_illegal,192.168.2.31,1786844793.515752,1786844793.524535,8.78,ISOLATE_or_BLOCK,30,0
2026-08-16T02:46:42,modbus_scan,192.168.2.31,1786844800.126855,1786844800.142156,15.30,ISOLATE_or_BLOCK,30,0
2026-08-16T02:46:56,recon_connect,192.168.2.66,1786844814.826365,1786844814.832785,6.42,ISOLATE_or_BLOCK,75,0
2026-08-16T02:48:53,modbus_illegal,192.168.2.31,1786844932.041380,1786844932.049605,8.22,ISOLATE_or_BLOCK,30,0
2026-08-16T02:49:00,modbus_scan,192.168.2.31,1786844938.629484,1786844938.637822,8.34,ISOLATE_or_BLOCK,30,0
2026-08-16T02:49:15,unauth_write,192.168.2.66,1786844953.337154,1786844953.344923,7.77,ISOLATE_or_BLOCK,75,0
2026-08-16T02:50:37,modbus_illegal,192.168.2.31,1786845035.386432,1786845035.394535,8.10,ISOLATE_or_BLOCK,30,0
2026-08-16T02:50:43,modbus_scan,192.168.2.31,1786845041.984081,1786845042.002352,18.27,ISOLATE_or_BLOCK,30,0
2026-08-16T02:50:58,unauth_control,192.168.2.66,1786845056.721435,1786845056.728853,7.42,ISOLATE_or_BLOCK,75,0
2026-08-16T02:52:33,modbus_illegal,192.168.2.31,1786845151.783192,1786845151.791381,8.19,ISOLATE_or_BLOCK,30,0
2026-08-16T02:52:40,modbus_scan,192.168.2.31,1786845158.374222,1786845158.383884,9.66,ISOLATE_or_BLOCK,30,0
2026-08-16T02:52:55,fdi_scada,192.168.2.31,1786845173.080313,1786845173.173050,92.74,ISOLATE_or_BLOCK,75,10
2026-08-16T02:54:17,modbus_illegal,192.168.2.31,1786845255.253602,1786845255.262046,8.44,ISOLATE_or_BLOCK,30,0
2026-08-16T02:54:23,modbus_scan,192.168.2.31,1786845261.832594,1786845261.842262,9.67,ISOLATE_or_BLOCK,30,0
2026-08-16T02:54:38,fdi_high,192.168.2.31,1786845276.534424,1786845276.629632,95.21,ISOLATE_or_BLOCK,75,10
2026-08-16T02:56:00,modbus_illegal,192.168.2.31,1786845358.693532,1786845358.699647,6.11,ISOLATE_or_BLOCK,30,0
2026-08-16T02:56:07,modbus_scan,192.168.2.31,1786845365.260383,1786845365.272420,12.04,ISOLATE_or_BLOCK,30,0
2026-08-16T02:56:21,recon_connect,192.168.2.66,1786845379.952229,1786845379.962220,9.99,ISOLATE_or_BLOCK,75,0
2026-08-16T02:57:44,modbus_illegal,192.168.2.31,1786845462.132404,1786845462.137287,4.88,ISOLATE_or_BLOCK,30,0
2026-08-16T02:57:50,modbus_scan,192.168.2.31,1786845468.737971,1786845468.748551,10.58,ISOLATE_or_BLOCK,30,0
2026-08-16T02:58:05,unauth_write,192.168.2.66,1786845483.430838,1786845483.437326,6.49,ISOLATE_or_BLOCK,75,0
2026-08-16T03:01:01,modbus_illegal,192.168.2.31,1786845659.238450,1786845659.244943,6.49,ISOLATE_or_BLOCK,30,0
2026-08-16T03:01:07,modbus_scan,192.168.2.31,1786845665.816802,1786845665.826790,9.99,ISOLATE_or_BLOCK,30,0
2026-08-16T03:01:22,fdi_high,192.168.2.31,1786845680.527402,1786845680.627374,99.97,ISOLATE_or_BLOCK,75,9
2026-08-16T03:02:44,modbus_illegal,192.168.2.31,1786845762.688105,1786845762.694844,6.74,ISOLATE_or_BLOCK,30,0
2026-08-16T03:02:51,modbus_scan,192.168.2.31,1786845769.248443,1786845769.328474,80.03,ISOLATE_or_BLOCK,30,0
2026-08-16T03:03:06,recon_connect,192.168.2.66,1786845784.023938,1786845784.033525,9.59,ISOLATE_or_BLOCK,75,0
2026-08-16T03:05:16,modbus_illegal,192.168.2.31,1786845914.046339,1786845914.055183,8.84,ISOLATE_or_BLOCK,30,0
2026-08-16T03:05:22,modbus_scan,192.168.2.31,1786845920.640807,1786845920.654232,13.43,ISOLATE_or_BLOCK,30,0
2026-08-16T03:05:37,unauth_write,192.168.2.66,1786845935.333624,1786845935.340279,6.66,ISOLATE_or_BLOCK,75,0
2026-08-16T03:06:59,modbus_illegal,192.168.2.31,1786846017.459987,1786846017.466933,6.95,ISOLATE_or_BLOCK,30,0
2026-08-16T03:07:06,modbus_scan,192.168.2.31,1786846024.043272,1786846024.056960,13.69,ISOLATE_or_BLOCK,30,0
2026-08-16T03:07:20,unauth_control,192.168.2.66,1786846038.751163,1786846038.759193,8.03,ISOLATE_or_BLOCK,75,0
2026-08-16T03:08:42,modbus_illegal,192.168.2.31,1786846120.835732,1786846120.917743,82.01,ISOLATE_or_BLOCK,30,0
2026-08-16T03:08:49,modbus_scan,192.168.2.31,1786846127.526532,1786846127.534909,8.38,ISOLATE_or_BLOCK,30,0
2026-08-16T03:09:04,fdi_scada,192.168.2.31,1786846142.228432,1786846142.332736,104.30,ISOLATE_or_BLOCK,75,11
2026-08-16T03:10:26,modbus_illegal,192.168.2.31,1786846224.445516,1786846224.452468,6.95,ISOLATE_or_BLOCK,30,0
2026-08-16T03:10:32,modbus_scan,192.168.2.31,1786846231.017108,1786846231.029824,12.72,ISOLATE_or_BLOCK,30,0
2026-08-16T03:10:47,fdi_high,192.168.2.31,1786846245.747588,1786846245.889410,141.82,ISOLATE_or_BLOCK,75,11
2026-08-16T03:12:22,modbus_illegal,192.168.2.31,1786846340.799547,1786846340.809071,9.52,ISOLATE_or_BLOCK,30,0
2026-08-16T03:12:29,modbus_scan,192.168.2.31,1786846347.353248,1786846347.423978,70.73,ISOLATE_or_BLOCK,30,0
2026-08-16T03:12:44,recon_connect,192.168.2.66,1786846362.127512,1786846362.138035,10.52,ISOLATE_or_BLOCK,75,0
2026-08-16T03:14:06,modbus_illegal,192.168.2.31,1786846444.238707,1786846444.248141,9.43,ISOLATE_or_BLOCK,30,0
2026-08-16T03:14:12,modbus_scan,192.168.2.31,1786846450.812361,1786846450.921788,109.43,ISOLATE_or_BLOCK,30,0
2026-08-16T03:14:27,unauth_write,192.168.2.66,1786846465.619205,1786846465.628733,9.53,ISOLATE_or_BLOCK,75,0
2026-08-16T03:15:49,modbus_illegal,192.168.2.31,1786846547.714264,1786846547.720502,6.24,ISOLATE_or_BLOCK,30,0
2026-08-16T03:15:56,modbus_scan,192.168.2.31,1786846554.295760,1786846554.306519,10.76,ISOLATE_or_BLOCK,30,0
2026-08-16T03:16:11,unauth_control,192.168.2.66,1786846569.003074,1786846569.010574,7.50,ISOLATE_or_BLOCK,75,0
2026-08-16T03:17:33,modbus_illegal,192.168.2.31,1786846651.078072,1786846651.085383,7.31,ISOLATE_or_BLOCK,30,0
2026-08-16T03:17:39,modbus_scan,192.168.2.31,1786846657.644051,1786846657.653178,9.13,ISOLATE_or_BLOCK,30,0
2026-08-16T03:17:54,fdi_scada,192.168.2.31,1786846672.350002,1786846672.492193,142.19,ISOLATE_or_BLOCK,75,11
2026-08-16T03:19:29,modbus_illegal,192.168.2.31,1786846767.270710,1786846767.280080,9.37,ISOLATE_or_BLOCK,30,0
2026-08-16T03:19:35,modbus_scan,192.168.2.31,1786846773.844897,1786846773.856229,11.33,ISOLATE_or_BLOCK,30,0
2026-08-16T03:19:50,fdi_high,192.168.2.31,1786846788.546246,1786846788.650151,103.90,ISOLATE_or_BLOCK,75,10
2026-08-16T03:21:12,modbus_illegal,192.168.2.31,1786846870.708262,1786846870.716796,8.53,ISOLATE_or_BLOCK,30,0
2026-08-16T03:21:19,modbus_scan,192.168.2.31,1786846877.272348,1786846877.283146,10.80,ISOLATE_or_BLOCK,30,0
2026-08-16T03:21:34,recon_connect,192.168.2.66,1786846891.983311,1786846891.991309,8.00,ISOLATE_or_BLOCK,75,0
2026-08-16T03:23:31,modbus_illegal,192.168.2.31,1786847009.247854,1786847009.255099,7.25,ISOLATE_or_BLOCK,30,0
2026-08-16T03:23:37,modbus_scan,192.168.2.31,1786847015.828899,1786847015.839691,10.79,ISOLATE_or_BLOCK,30,0
2026-08-16T03:23:52,unauth_write,192.168.2.66,1786847030.548557,1786847030.555248,6.69,ISOLATE_or_BLOCK,75,0
2026-08-16T03:25:14,modbus_illegal,192.168.2.31,1786847112.631034,1786847112.640359,9.33,ISOLATE_or_BLOCK,30,0
2026-08-16T03:25:21,modbus_scan,192.168.2.31,1786847119.219060,1786847119.327379,108.32,ISOLATE_or_BLOCK,30,0
2026-08-16T03:25:36,unauth_control,192.168.2.66,1786847134.017712,1786847134.026137,8.42,ISOLATE_or_BLOCK,75,0
