ts,label,atk,t0,t_enforce,mttm_ms,response,hard_timeout,leaked_frames
2026-08-15T21:51:53,modbus_illegal,192.168.2.31,1786827111.541642,1786827111.548617,6.97,ISOLATE_or_BLOCK,30,0
2026-08-15T21:52:00,fdi_scada,192.168.2.31,1786827118.126191,1786827118.234330,108.14,ISOLATE_or_BLOCK,75,7
2026-08-15T21:52:07,fdi_high,192.168.2.31,1786827124.870735,1786827125.010958,140.22,ISOLATE_or_BLOCK,75,6
2026-08-15T21:52:13,modbus_scan,192.168.2.31,1786827131.612330,1786827131.620157,7.83,ISOLATE_or_BLOCK,30,0
2026-08-15T21:53:14,recon_connect,192.168.2.66,1786827192.600854,1786827192.609077,8.22,ISOLATE_or_BLOCK,75,0
2026-08-15T21:53:21,unauth_write,192.168.2.66,1786827199.250442,1786827199.310161,59.72,ISOLATE_or_BLOCK,75,0
2026-08-15T21:53:28,unauth_control,192.168.2.66,1786827205.924336,1786827205.929583,5.25,ISOLATE_or_BLOCK,75,0
2026-08-15T21:53:34,modbus_illegal,192.168.2.31,1786827212.528688,1786827212.534587,5.90,ISOLATE_or_BLOCK,30,0
2026-08-15T21:53:41,fdi_scada,192.168.2.31,1786827219.115400,1786827219.219967,104.57,ISOLATE_or_BLOCK,75,7
2026-08-15T21:53:48,fdi_high,192.168.2.31,1786827225.856337,1786827225.959741,103.40,ISOLATE_or_BLOCK,75,6
2026-08-15T21:53:54,modbus_scan,192.168.2.31,1786827232.549585,1786827232.564288,14.70,ISOLATE_or_BLOCK,30,0
2026-08-15T21:54:55,recon_connect,192.168.2.66,1786827293.561766,1786827293.569648,7.88,ISOLATE_or_BLOCK,75,0
2026-08-15T21:55:02,unauth_write,192.168.2.66,1786827300.206297,1786827300.212733,6.44,ISOLATE_or_BLOCK,75,0
2026-08-15T21:55:09,unauth_control,192.168.2.66,1786827306.845540,1786827306.854337,8.80,ISOLATE_or_BLOCK,75,0
2026-08-15T21:55:15,modbus_illegal,192.168.2.31,1786827313.441291,1786827313.447589,6.30,ISOLATE_or_BLOCK,30,0
2026-08-15T21:55:22,fdi_scada,192.168.2.31,1786827320.048873,1786827320.144553,95.68,ISOLATE_or_BLOCK,75,7
2026-08-15T21:55:29,fdi_high,192.168.2.31,1786827326.774387,1786827326.856908,82.52,ISOLATE_or_BLOCK,75,6
2026-08-15T21:55:35,modbus_scan,192.168.2.31,1786827333.444633,1786827333.453812,9.18,ISOLATE_or_BLOCK,30,0
2026-08-15T21:56:36,recon_connect,192.168.2.66,1786827394.571377,1786827394.579050,7.67,ISOLATE_or_BLOCK,75,0
2026-08-15T21:56:43,unauth_write,192.168.2.66,1786827401.220769,1786827401.229500,8.73,ISOLATE_or_BLOCK,75,0
2026-08-15T21:56:50,unauth_control,192.168.2.66,1786827407.868345,1786827407.875328,6.98,ISOLATE_or_BLOCK,75,0
2026-08-15T21:56:56,modbus_illegal,192.168.2.31,1786827414.476720,1786827414.485045,8.32,ISOLATE_or_BLOCK,30,0
2026-08-15T21:57:03,fdi_scada,192.168.2.31,1786827421.069206,1786827421.200170,130.96,ISOLATE_or_BLOCK,75,7
2026-08-15T21:57:10,fdi_high,192.168.2.31,1786827427.810858,1786827427.910624,99.77,ISOLATE_or_BLOCK,75,6
2026-08-15T21:57:16,modbus_scan,192.168.2.31,1786827434.515475,1786827434.527299,11.82,ISOLATE_or_BLOCK,30,0
2026-08-15T22:00:40,recon_connect,192.168.2.66,1786827638.696265,1786827638.703053,6.79,ISOLATE_or_BLOCK,75,0
2026-08-15T22:00:47,unauth_write,192.168.2.66,1786827645.353980,1786827645.406966,52.99,ISOLATE_or_BLOCK,75,0
2026-08-15T22:00:54,unauth_control,192.168.2.66,1786827652.038910,1786827652.046879,7.97,ISOLATE_or_BLOCK,75,0
2026-08-15T22:01:00,modbus_illegal,192.168.2.31,1786827658.644361,1786827658.652262,7.90,ISOLATE_or_BLOCK,30,0
2026-08-15T22:01:07,fdi_scada,192.168.2.31,1786827665.243922,1786827665.343473,99.55,ISOLATE_or_BLOCK,75,7
2026-08-15T22:01:14,fdi_high,192.168.2.31,1786827671.989440,1786827672.114491,125.05,ISOLATE_or_BLOCK,75,6
2026-08-15T22:01:20,modbus_scan,192.168.2.31,1786827678.683799,1786827678.692236,8.44,ISOLATE_or_BLOCK,30,0
2026-08-15T22:02:21,recon_connect,192.168.2.66,1786827739.673673,1786827739.679938,6.27,ISOLATE_or_BLOCK,75,0
2026-08-15T22:02:28,unauth_write,192.168.2.66,1786827746.316290,1786827746.323243,6.95,ISOLATE_or_BLOCK,75,0
2026-08-15T22:02:35,unauth_control,192.168.2.66,1786827752.955823,1786827752.962371,6.55,ISOLATE_or_BLOCK,75,0
2026-08-15T22:02:41,modbus_illegal,192.168.2.31,1786827759.582549,1786827759.589615,7.07,ISOLATE_or_BLOCK,30,0
2026-08-15T22:02:48,fdi_scada,192.168.2.31,1786827766.212902,1786827766.306598,93.70,ISOLATE_or_BLOCK,75,7
2026-08-15T22:02:55,fdi_high,192.168.2.31,1786827772.950181,1786827773.039072,88.89,ISOLATE_or_BLOCK,75,6
2026-08-15T22:03:01,modbus_scan,192.168.2.31,1786827779.614331,1786827779.626166,11.84,ISOLATE_or_BLOCK,30,0
