ts,phase,level,online,restores,est_npkts
1786576219,disarmed,29.8,1,37,
1786576220,disarmed,27.3,1,37,
1786576221,disarmed,28.1,1,37,
1786576222,disarmed,29.6,1,37,2181037
1786576223,disarmed,31.9,1,37,
1786576224,disarmed,34.3,1,37,
1786576225,disarmed,36.6,1,37,
1786576226,disarmed,38.5,1,37,
1786576227,disarmed,40.4,1,37,
1786576228,disarmed,41.9,1,37,
1786576229,disarmed,43.6,1,37,
1786576230,disarmed,45.6,1,37,
1786576231,disarmed,47.1,1,37,
1786576232,disarmed,48.5,1,37,
1786576233,disarmed,49.9,1,37,
1786576234,disarmed,51.3,1,37,
1786576235,disarmed,53.0,1,37,
1786576236,disarmed,54.3,1,37,
1786576237,disarmed,55.5,1,37,2184292
1786576238,disarmed,56.7,1,37,
1786576239,disarmed,58.2,1,37,
1786576240,disarmed,59.2,1,37,
1786576241,disarmed,60.3,1,37,
1786576242,disarmed,61.3,1,37,
1786576243,disarmed,62.3,1,37,
1786576244,disarmed,63.7,1,37,
1786576245,disarmed,64.6,1,37,
1786576246,disarmed,65.5,1,37,
1786576247,disarmed,66.3,1,37,
1786576248,disarmed,67.2,1,37,
1786576249,disarmed,68.3,1,37,
1786576250,disarmed,69.1,1,37,
1786576251,disarmed,69.9,1,37,
1786576252,disarmed,70.6,1,37,2187623
1786576253,disarmed,70.7,1,37,
1786576254,disarmed,64.5,1,37,
1786576255,disarmed,61.1,1,37,
1786576256,disarmed,57.0,1,37,
1786576257,disarmed,53.4,1,37,
1786576258,disarmed,50.1,1,37,
1786576259,disarmed,46.0,1,37,
1786576260,disarmed,42.6,1,37,
1786576261,disarmed,39.8,1,37,
1786576262,disarmed,36.8,1,37,
1786576263,disarmed,34.1,1,37,
1786576265,disarmed,30.4,1,37,
1786576266,disarmed,27.8,1,37,
1786576267,disarmed,25.8,1,37,
1786576268,disarmed,29.3,1,37,2190874
1786576269,disarmed,31.9,1,37,
1786576270,disarmed,34.2,1,37,
1786576271,disarmed,36.4,1,37,
1786576272,disarmed,38.0,1,37,
1786576273,disarmed,39.7,1,37,
1786576274,disarmed,42.0,1,37,
1786576275,disarmed,43.5,1,37,
1786576276,disarmed,45.2,1,37,
1786576277,disarmed,46.6,1,37,
1786576278,disarmed,48.5,1,37,
1786576279,disarmed,50.1,1,37,
1786576280,disarmed,51.3,1,37,
1786576281,disarmed,52.7,1,37,
1786576282,disarmed,53.8,1,37,
1786576283,disarmed,55.5,1,37,2194238
1786576284,disarmed,56.6,1,37,
1786576285,disarmed,57.8,1,37,
1786576286,disarmed,58.9,1,37,
1786576287,disarmed,60.0,1,37,
1786576288,disarmed,61.4,1,37,
1786576289,disarmed,62.3,1,37,
1786576290,disarmed,63.2,1,37,
