ts,cycle,mode,src,dst,dst_tier,op,rate,decided_tier,response,hard_timeout
1786641820,11,alternating,192.168.2.31,192.168.3.10,HIGH,DIAG,0,FORBIDDEN,ISOLATE,60
1786641821,11,alternating,192.168.2.31,192.168.2.30,MEDIUM,DIAG,12,FORBIDDEN,ISOLATE,45
1786641822,11,alternating,192.168.2.31,192.168.2.20,LOW,CONTROL,12,FORBIDDEN,ISOLATE,30
1786641822,11,simultaneous,192.168.2.66,192.168.3.10,HIGH,CONTROL,12,FORBIDDEN,ISOLATE,75
1786641822,11,simultaneous,192.168.2.66,192.168.2.30,MEDIUM,CONTROL,12,FORBIDDEN,ISOLATE,75
1786641822,11,simultaneous,192.168.2.66,192.168.2.20,LOW,CONTROL,12,FORBIDDEN,ISOLATE,75
1786641822,11,simultaneous,192.168.2.66,192.168.2.10,CRITICAL,CONTROL,12,FORBIDDEN,ISOLATE,75
1786641824,12,alternating,192.168.2.66,192.168.2.10,CRITICAL,READ,0,FORBIDDEN,ISOLATE,75
1786641825,12,alternating,192.168.2.66,192.168.3.10,HIGH,CONTROL,12,FORBIDDEN,ISOLATE,60
1786641826,12,alternating,192.168.2.66,192.168.2.30,MEDIUM,READ,0,FORBIDDEN,ISOLATE,45
1786641827,12,alternating,192.168.2.66,192.168.2.20,LOW,CONTROL,0,FORBIDDEN,ISOLATE,30
1786641827,12,alternating,192.168.2.31,192.168.2.10,CRITICAL,CONTROL,12,FORBIDDEN,ISOLATE,75
1786641828,12,alternating,192.168.2.31,192.168.3.10,HIGH,CONTROL,12,FORBIDDEN,ISOLATE,60
1786641829,12,alternating,192.168.2.31,192.168.2.30,MEDIUM,READ,0,FORBIDDEN,ISOLATE,45
1786641830,12,alternating,192.168.2.31,192.168.2.20,LOW,WRITE,0,SENSITIVE,BLOCK,30
1786641830,12,simultaneous,192.168.2.66,192.168.2.30,MEDIUM,CONTROL,12,FORBIDDEN,ISOLATE,75
1786641830,12,simultaneous,192.168.2.66,192.168.2.10,CRITICAL,CONTROL,12,FORBIDDEN,ISOLATE,75
1786641830,12,simultaneous,192.168.2.66,192.168.2.20,LOW,CONTROL,12,FORBIDDEN,ISOLATE,75
1786641830,12,simultaneous,192.168.2.66,192.168.3.10,HIGH,CONTROL,12,FORBIDDEN,ISOLATE,75
1786641832,13,alternating,192.168.2.66,192.168.2.10,CRITICAL,READ,12,FORBIDDEN,ISOLATE,75
1786641833,13,alternating,192.168.2.66,192.168.3.10,HIGH,WRITE,0,FORBIDDEN,ISOLATE,60
1786641834,13,alternating,192.168.2.66,192.168.2.30,MEDIUM,WRITE,12,FORBIDDEN,ISOLATE,45
1786641835,13,alternating,192.168.2.66,192.168.2.20,LOW,READ,12,FORBIDDEN,ISOLATE,30
1786641835,13,alternating,192.168.2.31,192.168.2.10,CRITICAL,CONTROL,0,FORBIDDEN,ISOLATE,75
1786641836,13,alternating,192.168.2.31,192.168.3.10,HIGH,WRITE,0,SENSITIVE,BLOCK,60
1786641837,13,alternating,192.168.2.31,192.168.2.30,MEDIUM,DIAG,12,FORBIDDEN,ISOLATE,45
1786641838,13,alternating,192.168.2.31,192.168.2.20,LOW,READ,12,OPERATIONAL,BLOCK,30
1786641838,13,simultaneous,192.168.2.66,192.168.2.10,CRITICAL,CONTROL,12,FORBIDDEN,ISOLATE,45
1786641838,13,simultaneous,192.168.2.66,192.168.2.30,MEDIUM,CONTROL,12,FORBIDDEN,ISOLATE,45
1786641838,13,simultaneous,192.168.2.66,192.168.3.10,HIGH,CONTROL,12,FORBIDDEN,ISOLATE,45
1786641838,13,simultaneous,192.168.2.66,192.168.2.20,LOW,CONTROL,12,FORBIDDEN,ISOLATE,45
1786641840,14,alternating,192.168.2.66,192.168.2.10,CRITICAL,DIAG,12,FORBIDDEN,ISOLATE,75
1786641841,14,alternating,192.168.2.66,192.168.3.10,HIGH,DIAG,12,FORBIDDEN,ISOLATE,60
1786641842,14,alternating,192.168.2.66,192.168.2.30,MEDIUM,WRITE,12,FORBIDDEN,ISOLATE,45
1786641843,14,alternating,192.168.2.66,192.168.2.20,LOW,READ,12,FORBIDDEN,ISOLATE,30
1786641843,14,alternating,192.168.2.31,192.168.2.10,CRITICAL,WRITE,12,FORBIDDEN,ISOLATE,75
1786641844,14,alternating,192.168.2.31,192.168.3.10,HIGH,DIAG,0,FORBIDDEN,ISOLATE,60
1786641845,14,alternating,192.168.2.31,192.168.2.30,MEDIUM,READ,0,FORBIDDEN,ISOLATE,45
1786641846,14,alternating,192.168.2.31,192.168.2.20,LOW,DIAG,0,FORBIDDEN,ISOLATE,30
1786641846,14,simultaneous,192.168.2.66,192.168.3.10,HIGH,CONTROL,12,FORBIDDEN,ISOLATE,45
1786641846,14,simultaneous,192.168.2.66,192.168.2.10,CRITICAL,CONTROL,12,FORBIDDEN,ISOLATE,45
1786641846,14,simultaneous,192.168.2.66,192.168.2.30,MEDIUM,CONTROL,12,FORBIDDEN,ISOLATE,45
1786641846,14,simultaneous,192.168.2.66,192.168.2.20,LOW,CONTROL,12,FORBIDDEN,ISOLATE,45
1786641848,15,alternating,192.168.2.66,192.168.2.10,CRITICAL,READ,12,FORBIDDEN,ISOLATE,75
1786641849,15,alternating,192.168.2.66,192.168.3.10,HIGH,READ,0,FORBIDDEN,ISOLATE,60
1786641850,15,alternating,192.168.2.66,192.168.2.30,MEDIUM,DIAG,12,FORBIDDEN,ISOLATE,45
1786641851,15,alternating,192.168.2.66,192.168.2.20,LOW,DIAG,0,FORBIDDEN,ISOLATE,30
1786641851,15,alternating,192.168.2.31,192.168.2.10,CRITICAL,WRITE,0,FORBIDDEN,ISOLATE,75
1786641852,15,alternating,192.168.2.31,192.168.3.10,HIGH,READ,12,OPERATIONAL,BLOCK,60
1786641853,15,alternating,192.168.2.31,192.168.2.30,MEDIUM,DIAG,0,FORBIDDEN,ISOLATE,45
1786641854,15,alternating,192.168.2.31,192.168.2.20,LOW,DIAG,0,FORBIDDEN,ISOLATE,30
1786641854,15,simultaneous,192.168.2.66,192.168.2.20,LOW,CONTROL,12,FORBIDDEN,ISOLATE,60
1786641854,15,simultaneous,192.168.2.66,192.168.2.30,MEDIUM,CONTROL,12,FORBIDDEN,ISOLATE,60
1786641854,15,simultaneous,192.168.2.66,192.168.2.10,CRITICAL,CONTROL,12,FORBIDDEN,ISOLATE,60
1786641854,15,simultaneous,192.168.2.66,192.168.3.10,HIGH,CONTROL,12,FORBIDDEN,ISOLATE,60
1786641856,16,alternating,192.168.2.66,192.168.2.10,CRITICAL,DIAG,12,FORBIDDEN,ISOLATE,75
1786641857,16,alternating,192.168.2.66,192.168.3.10,HIGH,READ,12,FORBIDDEN,ISOLATE,60
1786641858,16,alternating,192.168.2.66,192.168.2.30,MEDIUM,READ,12,FORBIDDEN,ISOLATE,45
1786641859,16,alternating,192.168.2.66,192.168.2.20,LOW,READ,0,FORBIDDEN,ISOLATE,30
1786641859,16,alternating,192.168.2.31,192.168.2.10,CRITICAL,WRITE,12,FORBIDDEN,ISOLATE,75
1786641860,16,alternating,192.168.2.31,192.168.3.10,HIGH,WRITE,12,SENSITIVE,BLOCK,60
1786641861,16,alternating,192.168.2.31,192.168.2.30,MEDIUM,WRITE,12,FORBIDDEN,ISOLATE,45
1786641862,16,alternating,192.168.2.31,192.168.2.20,LOW,DIAG,12,FORBIDDEN,ISOLATE,30
1786641863,16,simultaneous,192.168.2.66,192.168.2.10,CRITICAL,CONTROL,12,FORBIDDEN,ISOLATE,30
1786641863,16,simultaneous,192.168.2.66,192.168.2.20,LOW,CONTROL,12,FORBIDDEN,ISOLATE,30
1786641863,16,simultaneous,192.168.2.66,192.168.2.30,MEDIUM,CONTROL,12,FORBIDDEN,ISOLATE,30
1786641863,16,simultaneous,192.168.2.66,192.168.3.10,HIGH,CONTROL,12,FORBIDDEN,ISOLATE,30
1786641865,17,alternating,192.168.2.66,192.168.2.10,CRITICAL,DIAG,0,FORBIDDEN,ISOLATE,75
1786641865,17,alternating,192.168.2.66,192.168.3.10,HIGH,READ,0,FORBIDDEN,ISOLATE,60
1786641866,17,alternating,192.168.2.66,192.168.2.30,MEDIUM,CONTROL,0,FORBIDDEN,ISOLATE,45
1786641867,17,alternating,192.168.2.66,192.168.2.20,LOW,WRITE,12,FORBIDDEN,ISOLATE,30
1786641868,17,alternating,192.168.2.31,192.168.2.10,CRITICAL,CONTROL,12,FORBIDDEN,ISOLATE,75
1786641868,17,alternating,192.168.2.31,192.168.3.10,HIGH,DIAG,12,FORBIDDEN,ISOLATE,60
1786641869,17,alternating,192.168.2.31,192.168.2.30,MEDIUM,WRITE,0,FORBIDDEN,ISOLATE,45
1786641870,17,alternating,192.168.2.31,192.168.2.20,LOW,CONTROL,12,FORBIDDEN,ISOLATE,30
1786641871,17,simultaneous,192.168.2.66,192.168.2.10,CRITICAL,CONTROL,12,FORBIDDEN,ISOLATE,30
1786641871,17,simultaneous,192.168.2.66,192.168.2.20,LOW,CONTROL,12,FORBIDDEN,ISOLATE,30
1786641871,17,simultaneous,192.168.2.66,192.168.3.10,HIGH,CONTROL,12,FORBIDDEN,ISOLATE,30
1786641871,17,simultaneous,192.168.2.66,192.168.2.30,MEDIUM,CONTROL,12,FORBIDDEN,ISOLATE,30
1786641873,18,alternating,192.168.2.66,192.168.2.10,CRITICAL,DIAG,12,FORBIDDEN,ISOLATE,75
1786641873,18,alternating,192.168.2.66,192.168.3.10,HIGH,READ,0,FORBIDDEN,ISOLATE,60
1786641874,18,alternating,192.168.2.66,192.168.2.30,MEDIUM,DIAG,12,FORBIDDEN,ISOLATE,45
1786641875,18,alternating,192.168.2.66,192.168.2.20,LOW,WRITE,0,FORBIDDEN,ISOLATE,30
1786641876,18,alternating,192.168.2.31,192.168.2.10,CRITICAL,DIAG,0,FORBIDDEN,ISOLATE,75
1786641876,18,alternating,192.168.2.31,192.168.3.10,HIGH,DIAG,0,FORBIDDEN,ISOLATE,60
1786641877,18,alternating,192.168.2.31,192.168.2.30,MEDIUM,READ,12,FORBIDDEN,ISOLATE,45
1786641878,18,alternating,192.168.2.31,192.168.2.20,LOW,DIAG,12,FORBIDDEN,ISOLATE,30
1786641879,18,simultaneous,192.168.2.66,192.168.2.30,MEDIUM,CONTROL,12,FORBIDDEN,ISOLATE,30
1786641879,18,simultaneous,192.168.2.66,192.168.3.10,HIGH,CONTROL,12,FORBIDDEN,ISOLATE,30
1786641879,18,simultaneous,192.168.2.66,192.168.2.10,CRITICAL,CONTROL,12,FORBIDDEN,ISOLATE,30
1786641879,18,simultaneous,192.168.2.66,192.168.2.20,LOW,CONTROL,12,FORBIDDEN,ISOLATE,30
1786641881,19,alternating,192.168.2.66,192.168.2.10,CRITICAL,READ,0,FORBIDDEN,ISOLATE,75
1786641881,19,alternating,192.168.2.66,192.168.3.10,HIGH,CONTROL,12,FORBIDDEN,ISOLATE,60
1786641882,19,alternating,192.168.2.66,192.168.2.30,MEDIUM,CONTROL,12,FORBIDDEN,ISOLATE,45
1786641883,19,alternating,192.168.2.66,192.168.2.20,LOW,READ,0,FORBIDDEN,ISOLATE,30
1786641884,19,alternating,192.168.2.31,192.168.2.10,CRITICAL,READ,0,OPERATIONAL,ALLOW,
1786641884,19,alternating,192.168.2.31,192.168.3.10,HIGH,CONTROL,12,FORBIDDEN,ISOLATE,60
1786641885,19,alternating,192.168.2.31,192.168.2.30,MEDIUM,DIAG,12,FORBIDDEN,ISOLATE,45
1786641886,19,alternating,192.168.2.31,192.168.2.20,LOW,DIAG,0,FORBIDDEN,ISOLATE,30
1786641887,19,simultaneous,192.168.2.66,192.168.2.20,LOW,CONTROL,12,FORBIDDEN,ISOLATE,75
1786641887,19,simultaneous,192.168.2.66,192.168.2.10,CRITICAL,CONTROL,12,FORBIDDEN,ISOLATE,75
1786641887,19,simultaneous,192.168.2.66,192.168.3.10,HIGH,CONTROL,12,FORBIDDEN,ISOLATE,75
1786641887,19,simultaneous,192.168.2.66,192.168.2.30,MEDIUM,CONTROL,12,FORBIDDEN,ISOLATE,75
1786641889,20,alternating,192.168.2.66,192.168.2.10,CRITICAL,CONTROL,0,FORBIDDEN,ISOLATE,75
1786641889,20,alternating,192.168.2.66,192.168.3.10,HIGH,READ,12,FORBIDDEN,ISOLATE,60
1786641890,20,alternating,192.168.2.66,192.168.2.30,MEDIUM,WRITE,12,FORBIDDEN,ISOLATE,45
1786641891,20,alternating,192.168.2.66,192.168.2.20,LOW,DIAG,12,FORBIDDEN,ISOLATE,30
1786641892,20,alternating,192.168.2.31,192.168.2.10,CRITICAL,READ,0,OPERATIONAL,ALLOW,
1786641892,20,alternating,192.168.2.31,192.168.3.10,HIGH,CONTROL,0,FORBIDDEN,ISOLATE,60
1786641893,20,alternating,192.168.2.31,192.168.2.30,MEDIUM,CONTROL,0,FORBIDDEN,ISOLATE,45
1786641894,20,alternating,192.168.2.31,192.168.2.20,LOW,WRITE,12,SENSITIVE,BLOCK,30
1786641895,20,simultaneous,192.168.2.66,192.168.2.30,MEDIUM,CONTROL,12,FORBIDDEN,ISOLATE,75
