ts,level,online,restores
1786570483.742,66.9,1,27
1786570484.763,66.9,1,27
1786570485.785,66.9,1,27
1786570486.803,66.9,1,27
1786570487.823,66.9,1,27
1786570488.841,66.9,1,27
1786570489.861,66.9,1,27
1786570490.883,66.9,1,27
1786570491.905,66.9,1,27
1786570492.929,66.9,1,27
1786570493.950,66.9,1,27
1786570494.973,66.9,1,27
1786570495.995,66.9,1,27
1786570497.015,66.9,1,27
1786570498.038,66.9,1,27
1786570499.061,66.9,1,27
1786570500.081,66.9,1,27
1786570501.101,66.9,1,27
1786570502.127,66.9,1,27
1786570503.148,66.9,1,27
1786570504.172,66.9,1,27
1786570505.197,66.9,1,27
1786570506.218,66.9,1,27
1786570507.241,66.9,1,27
1786570508.264,66.9,1,27
1786570509.284,66.9,1,27
1786570510.308,66.9,1,27
1786570511.331,66.9,1,27
1786570512.353,66.9,1,27
1786570513.375,66.9,1,27
1786570514.396,66.9,1,27
1786570515.422,66.9,1,27
1786570516.442,66.9,1,27
1786570517.463,66.9,1,27
1786570518.485,66.9,1,27
1786570519.508,66.9,1,27
1786570520.527,66.9,1,27
1786570521.547,66.9,1,27
1786570522.566,66.9,1,27
1786570523.584,66.9,1,27
1786570524.603,66.9,1,27
1786570525.625,66.9,1,27
1786570526.645,66.9,1,27
1786570527.669,66.9,1,27
1786570528.694,66.9,1,27
1786570529.713,66.9,1,27
1786570530.735,66.9,1,27
1786570531.757,66.9,1,27
1786570532.777,66.9,1,27
1786570533.798,66.9,1,27
1786570534.820,66.9,1,27
1786570535.844,66.9,1,27
1786570536.866,66.9,1,27
1786570537.887,66.9,1,27
1786570538.909,66.9,1,27
1786570539.929,66.9,1,27
1786570540.955,66.9,1,27
1786570541.975,66.9,1,27
1786570542.996,66.9,1,27
1786570544.016,66.9,1,27
1786570545.037,66.9,1,27
1786570546.056,66.9,1,27
1786570547.080,66.9,1,27
1786570548.104,66.9,1,27
1786570549.128,66.9,1,27
1786570550.152,66.9,1,27
1786570551.174,66.9,1,27
1786570552.194,66.9,1,27
1786570553.212,66.9,1,27
1786570554.231,66.9,1,27
1786570555.252,66.9,1,27
1786570556.270,66.9,1,27
1786570557.294,66.9,1,27
1786570558.313,66.9,1,27
1786570559.334,66.9,1,27
1786570560.359,66.9,1,27
1786570561.379,66.9,1,27
1786570562.402,66.9,1,27
1786570563.421,66.9,1,27
1786570564.439,66.9,1,27
1786570565.464,66.9,1,27
1786570566.485,66.9,1,27
1786570567.509,66.9,1,27
1786570568.531,66.9,1,27
1786570569.553,66.9,1,27
1786570570.575,66.9,1,27
1786570571.598,66.9,1,27
1786570572.619,66.9,1,27
1786570573.642,66.9,1,27
1786570574.663,66.9,1,27
1786570575.683,66.9,1,27
1786570576.703,66.9,1,27
1786570577.728,66.9,1,27
1786570578.746,66.9,1,27
1786570579.771,66.9,1,27
1786570580.794,66.9,1,27
1786570581.812,66.9,1,27
1786570582.830,66.9,1,27
1786570583.854,66.9,1,27
1786570584.874,66.9,1,27
1786570585.897,66.9,1,27
1786570586.917,66.9,1,27
1786570587.934,66.9,1,27
1786570588.955,66.9,1,27
1786570589.978,66.9,1,27
1786570590.996,66.9,1,27
1786570592.015,66.9,1,27
1786570593.034,66.9,1,27
1786570594.056,66.9,1,27
1786570595.079,66.9,1,27
1786570596.100,66.9,1,27
1786570597.121,66.9,1,27
1786570598.142,66.9,1,27
1786570599.161,66.9,1,27
1786570600.180,66.9,1,27
1786570601.202,66.9,1,27
1786570602.223,66.9,1,27
1786570603.246,66.9,1,27
1786570604.267,66.9,1,27
1786570605.289,66.9,1,27
1786570606.309,66.9,1,27
1786570607.327,66.9,1,27
1786570608.348,66.9,1,27
1786570609.370,66.9,1,27
1786570610.394,66.9,1,27
1786570611.415,66.9,1,27
1786570612.437,66.9,1,27
1786570613.462,66.9,1,27
1786570614.486,66.9,1,27
1786570615.509,66.9,1,27
1786570616.530,66.9,1,27
1786570617.557,66.9,1,27
1786570618.577,66.9,1,27
1786570619.598,66.9,1,27
1786570620.619,66.9,1,27
1786570621.638,66.9,1,27
1786570622.662,66.9,1,27
1786570623.681,66.9,1,27
1786570624.703,66.9,1,27
1786570625.727,66.9,1,27
1786570626.749,66.9,1,27
1786570627.768,66.9,1,27
1786570628.794,66.9,1,27
1786570629.819,66.9,1,27
1786570630.839,66.9,1,27
1786570631.860,66.9,1,27
1786570632.884,66.9,1,27
1786570633.905,66.9,1,27
1786570634.926,66.9,1,27
1786570635.945,66.9,1,27
1786570636.970,66.9,1,27
1786570637.990,66.9,1,27
1786570639.014,66.9,1,27
1786570640.041,66.9,1,27
1786570641.061,66.9,1,27
1786570642.080,66.9,1,27
1786570643.106,66.9,1,27
1786570644.130,66.9,1,27
1786570645.151,66.9,1,27
1786570646.170,66.9,1,27
1786570647.192,66.9,1,27
1786570648.218,66.9,1,27
1786570649.238,66.9,1,27
1786570650.261,66.9,1,27
1786570651.286,66.9,1,27
1786570652.308,66.9,1,27
1786570653.334,66.9,1,27
1786570654.356,66.9,1,27
1786570655.378,66.9,1,27
1786570656.400,66.9,1,27
1786570657.424,66.9,1,27
1786570658.446,66.9,1,27
1786570659.468,66.9,1,27
1786570660.495,66.9,1,27
1786570661.515,66.9,1,27
1786570662.534,66.9,1,27
1786570663.558,66.9,1,27
1786570664.580,66.9,1,27
1786570665.598,66.9,1,27
1786570666.622,66.9,1,27
