ts,level,online,restores
1786566420.491,50.7,1,27
1786566421.512,52.1,1,27
1786566422.532,53.9,1,27
1786566423.552,55.1,1,27
1786566424.576,56.3,1,27
1786566425.596,57.4,1,27
1786566426.615,58.6,1,27
1786566427.636,60.0,1,27
1786566428.654,61.0,1,27
1786566429.674,62.1,1,27
1786566430.697,63.0,1,27
1786566431.724,64.0,1,27
1786566432.748,65.2,1,27
1786566433.768,66.0,1,27
1786566434.791,66.9,1,27
1786566435.816,67.7,1,27
1786566436.837,68.8,1,27
1786566437.863,69.6,1,27
1786566438.884,70.4,1,27
1786566439.906,71.1,1,27
1786566440.930,65.6,1,27
1786566441.950,62.2,1,27
1786566442.975,58.7,1,27
1786566443.994,54.9,1,27
1786566445.016,51.3,1,27
1786566446.037,47.8,1,27
1786566447.059,43.9,1,27
1786566448.084,40.7,1,27
1786566449.105,37.8,1,27
1786566450.125,34.9,1,27
1786566451.149,32.4,1,27
1786566452.168,28.8,1,27
1786566453.189,26.2,1,27
1786566454.206,30.0,1,27
1786566455.228,31.2,1,27
1786566456.250,32.6,1,27
1786566457.269,35.2,1,27
1786566458.293,37.3,1,27
1786566459.313,39.1,1,27
1786566460.336,40.9,1,27
1786566461.361,42.4,1,27
1786566462.387,44.6,1,27
1786566463.412,45.9,1,27
1786566464.436,47.5,1,27
1786566465.455,49.0,1,27
1786566466.477,50.8,1,27
1786566467.495,52.2,1,27
1786566468.520,53.4,1,27
1786566469.544,54.7,1,27
1786566470.567,55.8,1,27
1786566471.591,57.4,1,27
1786566472.610,58.5,1,27
1786566473.633,59.6,1,27
1786566474.652,60.6,1,27
1786566475.673,62.0,1,27
1786566476.693,63.0,1,27
1786566477.715,63.8,1,27
1786566478.736,64.8,1,27
1786566479.756,65.7,1,27
1786566480.778,66.9,1,27
1786566481.797,67.7,1,27
1786566482.819,68.5,1,27
1786566483.839,69.3,1,27
1786566484.866,70.0,1,27
1786566485.891,71.0,1,27
1786566486.913,65.5,1,27
1786566487.935,63.5,1,27
1786566488.958,60.0,1,27
1786566489.983,55.5,1,27
1786566491.001,51.6,1,27
1786566492.026,48.5,1,27
